DepMap_ID,cell_line,COSMIC_ID,Biological_sex,Age,Lineage,Y_ploidy,X_ploidy,Genotype,Y-linked_genes,X-linked_genes,Chr_Y_gene_expression_PC1,Chr_X,Chr_1
ACH-001511,H413_UPPER_AERODIGESTIVE_TRACT,NA,Female,53,upper_aerodigestive,Y-,XX,Female_XXhet,7.33E-07,1.498009193,4.553227283,NA,NA
ACH-001513,HCA1_CERVIX,NA,Female,NA,cervix,Y-,XX,Female_XXhet,1.80E-05,0.979255666,4.550840995,NA,NA
ACH-001515,HCS2_CERVIX,NA,Female,42,cervix,Y-,X,Female_X0,3.15E-06,0.683881234,4.549332505,NA,NA
ACH-001517,HEC1_ENDOMETRIUM,907051,Female,71,uterus,Y-,X,Female_X0,1.57E-05,0.739991794,4.553227283,NA,NA
ACH-001518,HEC116_ENDOMETRIUM,NA,Female,NA,uterus,Y-,X,Female_X0,5.63E-07,0.550364383,4.553227283,NA,NA
ACH-001520,HG3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Male,70,blood,Y+,X,Male_XY,0.631555125,0.546373576,-7.132387132,NA,NA
ACH-001521,HKA1_SKIN,NA,Female,77,skin,Y-,XX,Female_XXhet,2.56E-06,0.967127166,4.499350613,NA,NA
ACH-001522,HMY1_SKIN,NA,Male,62,skin,Y+,X,Male_XY,0.676280734,0.70016941,-9.03963513,NA,NA
ACH-001523,HSC1_SKIN,NA,Male,75,skin,Y+,X,Male_XY,0.844185927,0.589716784,-10.40736494,NA,NA
ACH-001524,HSC5_SKIN,NA,Male,75,skin,Y+,X,Male_XY,0.430415294,0.697158395,-6.805964929,NA,NA
ACH-001525,HT3_CERVIX,907068,Female,59,cervix,Y-,XX,Female_XXhet,1.56E-05,0.836494031,4.553227283,NA,NA
ACH-001526,HUO9_BONE,907072,Female,13,bone,Y-,XX,Female_XXhet,0.017260047,0.973063033,4.553227283,NA,NA
ACH-001528,IHH4_THYROID,1240154,Male,75,thyroid,Y+,X,Male_XY,0.606179157,0.62493487,-8.701806566,NA,NA
ACH-001529,JAR_PLACENTA,907175,Male,0,uterus,Y+,X,Male_XY,0.392628936,0.743285431,-6.257775066,NA,NA
ACH-001530,JEG3_PLACENTA,907176,Male,NA,uterus,Y+,X,Male_XY,0.356123963,0.597363149,-7.583080537,NA,NA
ACH-001532,JMURTK2_SOFT_TISSUE,NA,Miss_classification,1,kidney,Y+,X,NA,0.587277873,0.55425714,-8.910459249,NA,NA
ACH-001533,KARPAS1718_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Male,NA,lymphocyte,Y+,X,Male_XY,0.61088477,0.590582941,-8.414337188,NA,NA
ACH-001536,KKU100_BILIARY_TRACT,NA,Female,65,bile_duct,Y-,XX,Female_XXhet,0.000533803,1.283223343,4.525896583,NA,NA
ACH-001538,KKU213_BILIARY_TRACT,NA,Male,58,bile_duct,Y-,X,Male_X0,0.000596622,0.752144521,4.553227283,NA,NA
ACH-001539,KML1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Female,28,lymphocyte,Y-,X,Female_X0,3.19E-07,0.578662192,4.553227283,NA,NA
ACH-001542,KON_UPPER_AERODIGESTIVE_TRACT,1298215,Male,76,upper_aerodigestive,Y-,X,Male_X0,4.35E-06,0.442227216,4.45673379,NA,NA
ACH-001543,KOSC2CL343_UPPER_AERODIGESTIVE_TRACT,753570,Male,51,upper_aerodigestive,Y-,X,Male_X0,0.006937504,0.686986315,4.551260801,NA,NA
ACH-001547,LO68_LUNG,NA,Male,NA,lung,Y-,X,Male_X0,0.036684101,0.648670506,4.553227283,NA,NA
ACH-001548,LS_AUTONOMIC_GANGLIA,NA,Female,1.3,peripheral_nervous_system,Y-,XX,Female_XXhet,9.46E-07,0.878081877,4.52456676,NA,NA
ACH-001549,LU135_LUNG,713899,Male,69,lung,Y+,X,Male_XY,0.310925605,0.475037849,-6.109846491,NA,NA
ACH-001550,MCC13_SKIN,NA,Female,NA,skin,Y-,XX,Female_XXhet,0.000261893,0.935615846,4.015836926,NA,NA
ACH-001551,MCC142_SKIN,NA,Male,80,skin,Y-,X,Male_X0,0.000396649,0.606109801,4.382310534,NA,NA
ACH-001552,MCC26_SKIN,NA,Female,NA,skin,Y-,XX,Female_XXhet,5.02E-07,0.86745498,4.38430135,NA,NA
